"UniqueCarrier" "Origin" "Dest" "Month" "DayOfWeek" "hour" "prop_30" "prop_60" "prop_80" "Time_Delay"
"177" "UA" "ORD" "DEN" 12 5 12 0.217105263157895 0.105263157894737 0.0197368421052632 152
"178" "WN" "DAL" "HOU" 6 5 15 0.216374269005848 0.0526315789473684 0 171
"179" "WN" "HOU" "DAL" 8 4 18 0.216374269005848 0.0760233918128655 0 171
"180" "AA" "DFW" "LGA" 1 7 0 0.215909090909091 0.0681818181818182 0.00568181818181818 176
"181" "AA" "DFW" "MCI" 1 1 0 0.215189873417722 0.0949367088607595 0.0126582278481013 158
"182" "WN" "DAL" "HOU" 3 4 20 0.215189873417722 0.0759493670886076 0 158
"183" "WN" "HOU" "DAL" 8 7 19 0.215189873417722 0.0569620253164557 0.0126582278481013 158
"184" "WN" "DAL" "HOU" 12 5 15 0.215116279069767 0.063953488372093 0.0174418604651163 172
"185" "WN" "HOU" "DAL" 7 7 17 0.214912280701754 0.100877192982456 0.0087719298245614 228
"186" "UA" "LAX" "SFO" 7 5 11 0.214285714285714 0.0779220779220779 0 154
"187" "UA" "LAX" "SFO" 11 1 11 0.214285714285714 0.116883116883117 0 154
"188" "UA" "LAX" "SFO" 12 4 11 0.214285714285714 0.123376623376623 0 154
"189" "WN" "HOU" "DAL" 12 5 17 0.213973799126638 0.0655021834061135 0 229
"190" "WN" "DAL" "HOU" 10 4 21 0.213872832369942 0.092485549132948 0.00578034682080925 173
"191" "WN" "DAL" "HOU" 11 7 20 0.213414634146341 0.0853658536585366 0 164
"192" "AA" "ORD" "DFW" 4 5 18 0.213333333333333 0.113333333333333 0.00666666666666667 150
"193" "AA" "ORD" "DFW" 6 7 18 0.213333333333333 0.0533333333333333 0 150
"194" "UA" "LAX" "SFO" 5 5 11 0.213333333333333 0.12 0.00666666666666667 150
"195" "UA" "LAX" "SFO" 10 5 14 0.213333333333333 0.0866666666666667 0 150
"196" "UA" "LAX" "SFO" 12 6 10 0.213333333333333 0.0866666666666667 0 150
"197" "NW" "DTW" "MSP" 3 6 15 0.211111111111111 0.0833333333333333 0.0111111111111111 180
"198" "WN" "HOU" "DAL" 7 5 19 0.210843373493976 0.0783132530120482 0.0120481927710843 166
"199" "UA" "LAX" "SFO" 12 4 17 0.210526315789474 0.0921052631578947 0.00657894736842105 152
"200" "WN" "DAL" "HOU" 3 4 19 0.210526315789474 0.064327485380117 0.0116959064327485 171
"201" "WN" "DAL" "HOU" 7 3 18 0.210227272727273 0.0909090909090909 0.0113636363636364 176
"202" "UA" "LAX" "SFO" 3 5 17 0.209876543209877 0.104938271604938 0 162
"203" "WN" "DAL" "HOU" 6 5 17 0.209606986899563 0.0480349344978166 0.00873362445414847 229
"204" "NW" "DTW" "MSP" 7 4 15 0.208955223880597 0.0398009950248756 0.00497512437810945 201
"205" "UA" "LAX" "SFO" 8 1 11 0.208860759493671 0.0759493670886076 0 158
"206" "UA" "SFO" "LAX" 12 4 18 0.208588957055215 0.098159509202454 0.0122699386503067 163
